"drug1_concept_id","drug2_concept_id"
19111620,1742253
19111620,1748921
19111620,1754994
19111620,1762711
19111620,1777087
19111620,1797155
19111620,1797513
19111620,1836430
19111620,19003999
19111620,19008339
19111620,19009405
19111620,19010482
19111620,19011773
19111620,19014878
19111620,19018544
19111620,19026972
19111620,19035704
19111620,19049105
19111620,19080458
19111620,19092849
19122121,19111620
19122121,19135832
19122121,19137042
19122121,40165651
19122121,40166942
19122121,40222444
19122121,40226579
19122121,40226742
19122121,40228152
19122121,40239330
19122121,40241331
19122121,43526424
19122121,703547
19122121,705103
19122121,705944
19122121,710062
19122121,711584
19122121,715233
19122121,715259
19122121,715939
19122121,718583
19122121,722031
19122121,722424
19122121,723013
19122121,725131
19122121,734354
19122121,735843
19122121,735979
19122121,739138
19122121,740275
19122121,740910
19122121,742267
19122121,743670
19122121,744740
19122121,745466
19122121,750982
19122121,755695
19122121,757688
19122121,766814
19122121,769935
19122121,778711
19122121,780442
19122121,781039
19122121,785788
19122121,791967
19122121,797399
19122121,797617
19122121,798874
19122121,800878
19122121,904453
19122121,906780
19122121,923645
19122121,924566
19122121,929887
19122121,937368
19122121,939259
19122121,941258
19122121,948078
19122121,950637
19122121,953076
19122121,955632
19122121,956874
19122121,961047
19122121,968426
19122121,970250
19122121,974166
19122121,975125
19122121,984232
19122121,1000560
19122121,1103314
19122121,1103640
19122121,1106776
19122121,1107830
19122121,1110410
19122121,1112807
19122121,1115008
19122121,1118084
19122121,1119119
19122121,1124300
19122121,1124957
19122121,1125315
19122121,1129625
19122121,1133201
19122121,1137529
19122121,1149196
19122121,1149380
19122121,1150345
19122121,1151789
19122121,1153013
19122121,1153428
19122121,1154029
19122121,1154161
19122121,1154343
19122121,1167322
19122121,1174888
19122121,1177480
19122121,1189754
19122121,1196677
19122121,1301025
19122121,1304107
19122121,1305058
19122121,1307046
19122121,1307863
19122121,1308216
19122121,1308290
19122121,1308842
19122121,1309944
19122121,1310149
19122121,1310317
19122121,1314002
19122121,1314273
19122121,1314924
19122121,1315942
19122121,1316262
19122121,1318011
19122121,1318853
19122121,1321636
19122121,1322184
19122121,1325363
19122121,1326303
19122121,1328165
19122121,1332418
19122121,1334456
19122121,1336539
19122121,1336825
19122121,1337068
19122121,1337620
19122121,1338005
19122121,1338512
19122121,1341927
19122121,1344905
19122121,1346823
19122121,1347384
19122121,1351541
19122121,1351557
19122121,1353766
19122121,1361711
19122121,1367500
19122121,1367571
19122121,1378382
19122121,1388796
19122121,1397141
19122121,1397599
19122121,1398937
19122121,1500211
19122121,1501700
19122121,1502905
19122121,1503297
19122121,1506270
19122121,1510813
19122121,1517824
19122121,1518254
19122121,1521987
19122121,1524674
19122121,1525215
19122121,1526475
19122121,1539403
19122121,1545958
19122121,1547504
19122121,1548195
19122121,1549080
19122121,1549786
19122121,1550023
19122121,1550557
19122121,1551099
19122121,1551803
19122121,1551860
19122121,1557272
19122121,1559684
19122121,1560171
19122121,1580747
19122121,1583722
19122121,1589505
19122121,1597756
19122121,1703687
19122121,1707687
19122121,1713332
19122121,1714165
19122121,1734104
19122121,1742253
19122121,1748921
19122121,1754994
19122121,1762711
19122121,1777087
19122121,1797155
19122121,1797513
19122121,1836430
19122121,19003999
19122121,19008339
19122121,19009405
19122121,19010482
19122121,19011773
19122121,19014878
19122121,19018544
19122121,19026972
19122121,19035704
19122121,19049105
19122121,19080458
19122121,19092849
19135832,19111620
19135832,19122121
19135832,19137042
19135832,40165651
19135832,40166942
19135832,40222444
19135832,40226579
19135832,40226742
19135832,40228152
19135832,40239330
19135832,40241331
19135832,43526424
19135832,703547
19135832,705103
19135832,705944
19135832,710062
19135832,711584
19135832,715233
19135832,715259
19135832,715939
19135832,718583
19135832,722031
19135832,722424
19135832,723013
19135832,725131
19135832,734354
19135832,735843
19135832,735979
19135832,739138
19135832,740275
19135832,740910
19135832,742267
19135832,743670
19135832,744740
19135832,745466
19135832,750982
19135832,755695
19135832,757688
19135832,766814
19135832,769935
19135832,778711
19135832,780442
19135832,781039
19135832,785788
19135832,791967
19135832,797399
19135832,797617
19135832,798874
19135832,800878
19135832,904453
19135832,906780
19135832,923645
19135832,924566
19135832,929887
19135832,937368
19135832,939259
